feature,class_label
"[-2.8010910e+02  1.0161905e+02 -8.4145708e+00  7.0413756e+00
 -1.9098282e+01  1.5165633e+00  2.8370786e+00 -8.3042164e+00
  7.9156075e+00  7.5785317e+00  2.5923343e+00 -3.7380297e+00
 -4.0472403e+00 -3.1815894e+00  5.5016885e+00  9.1327553e+00
  1.2915249e+01  4.4647651e+00 -2.7762744e+00 -7.7363629e+00
 -9.8563552e-01  1.9451658e+00  2.3660097e+00 -7.0644569e+00
 -6.7406945e+00 -4.4027691e+00 -1.8738082e-01 -2.9738724e+00
 -6.2710404e-01  4.4345632e+00  7.9719396e+00  6.5435467e+00
  9.7667211e-01 -4.6448255e-01  5.0181285e-02 -2.9566455e+00
 -2.3791897e+00  6.7183411e-01 -1.3254199e+00 -3.5863452e+00]",0
"[-2.9420776e+02  1.4102964e-01 -4.1779770e+01  2.5674736e+01
 -6.9120798e+00 -5.2978158e+00  1.6337029e+01  8.1140375e+00
  6.4196472e+00 -9.2119370e+00  2.5986757e+00  5.8178892e+00
  6.5313292e+00  3.3320698e+01  2.5963415e+01  1.3732847e+01
  3.1883209e+00 -5.5880313e+00 -1.9393333e+00  3.7199368e+00
 -1.7739269e+00 -4.1825042e+00  3.1743069e+00  3.2118957e+00
  4.0952511e+00  6.0127602e+00  1.0960649e+01  9.4778461e+00
  1.1121942e+00  2.8453994e+00  7.4683924e+00  3.0570984e+00
 -2.0963748e+00  2.1498102e-01  2.0767121e+00 -1.1075740e+00
  4.6508718e-01  2.2828250e+00  2.3736770e-01 -2.5654936e+00]",0
"[-1.9335413e+02  7.7426941e+01 -5.1931980e+01  9.5251017e+00
 -2.2900709e+01  4.8741527e+00  1.7154402e+01  6.8021884e+00
 -1.1362273e-01 -3.6961212e+00  4.6393895e+00  3.4430058e+00
  2.3567188e+00  8.9081917e+00  1.0482223e+01  1.3085748e+01
  1.9573870e+01  8.6489525e+00  3.5443208e+00  3.1550937e+00
  9.1695576e+00  2.7408991e+00  1.1408616e+00 -1.3377225e+00
  9.6697319e-01  3.5351274e+00  4.2989802e+00  1.8990805e+00
  5.8053799e+00  6.0326743e+00  4.2620234e+00  3.0226362e+00
  2.7115407e+00  2.3946669e+00  1.8740363e+00 -7.4175942e-01
  9.3117291e-01  7.1490443e-01 -3.6264801e-01  1.7724187e+00]",0
"[-2.6054584e+02 -1.7994354e+01 -5.1469112e+01  1.3600603e+01
 -1.9406477e+01 -8.2692547e+00  2.3878685e+01  3.5147185e+00
 -5.7289009e+00 -1.0224868e+01 -1.9169183e+00  8.5908518e+00
  6.1883826e+00  5.0459171e+01  4.3395584e+01  2.0701994e+01
 -4.8136253e+00 -1.2197953e+01 -8.3579082e+00  8.7999601e+00
  9.4086847e+00 -6.8049498e+00 -1.4075329e+01  7.6157713e+00
  1.6570103e+01  8.3315706e+00 -8.5086721e-01  1.2709240e+01
  1.8032492e+01  2.7129526e+00 -8.9524307e+00  4.9953604e+00
  5.7928677e+00 -8.3974659e-02 -5.8187108e+00 -3.7224954e-01
 -3.0494938e+00 -4.2485075e+00  8.4678755e+00  8.0363884e+00]",0
"[-2.0428732e+02  3.2572281e+01 -4.3695560e+01 -1.8818753e+00
 -1.0581639e+00  9.0210781e+00 -3.7393255e+00  2.3697714e+01
 -6.8646526e+00  1.7804009e+00  1.2879087e-02 -2.5010684e+00
 -1.0429624e+01 -2.2570722e+00  7.4645581e+00  1.5608128e+01
  1.9171492e+01  2.0252113e+01 -8.7935953e+00 -5.9524503e+00
 -3.6175820e-01  7.4703860e+00  6.6299610e+00  5.5997376e+00
 -7.8455324e+00 -1.2496581e+00  5.1343265e+00 -2.3145184e-01
 -3.0965340e+00 -2.5718656e+00  1.1168844e+01  6.1975517e+00
  2.7432601e+00 -1.6933931e+00  4.3197427e+00 -2.5397107e-01
 -2.5723667e+00 -1.4799426e-01  3.1355643e+00 -6.1138196e+00]",0
"[-2.7866437e+02 -1.7103016e+01 -6.7302429e+01  7.9249458e+00
 -5.4581245e+01  7.0311470e+00 -4.4593587e+00 -4.1312298e-01
 -8.3510885e+00 -6.0937023e+00 -1.5478463e+01 -1.1360346e+01
  4.0273542e+00  3.2864804e+00  5.0279369e+00  1.7519365e+01
  1.1258515e+01  4.1192865e+00 -1.4566023e+00 -4.9172697e+00
 -2.3576107e+00 -7.9245158e-02  1.5825534e-01 -5.6991706e+00
 -4.5843582e+00  1.9164754e-01  2.1761031e+00 -7.9927218e-01
  1.7100501e+00  3.1551187e+00 -5.2859783e-01  3.6848683e+00
 -1.0081813e-01  1.8397751e+00  1.7071252e+00 -1.1627445e+00
 -1.8853776e+00  2.9370626e-02 -1.6778473e+00 -2.2421086e+00]",0
"[-2.8869824e+02 -3.7756371e+01 -7.8769638e+01  1.1123163e+01
 -4.7712204e+01  6.7151327e+00 -1.1433075e+01  5.0229030e+00
 -1.0311567e+01 -4.5283809e+00 -2.2360971e+01 -1.1911052e+01
  3.9217865e+00  7.3516746e+00  7.9007788e+00  1.5873078e+01
  9.5041704e+00 -1.1807685e+00 -5.7025218e+00 -3.9109519e+00
  2.6155717e+00 -2.0864303e-01 -4.8284507e+00 -8.8973618e+00
 -2.8895807e+00  6.8283421e-01  8.9308776e-02 -2.1527948e+00
  5.2251105e+00  7.6803265e+00  6.5038109e-01  1.6037652e-01
 -3.3156064e+00  3.3547673e+00 -2.2530627e+00 -8.9719021e-01
 -1.2945679e+00 -2.1508701e+00 -3.0323312e+00 -1.5784826e+00]",0
"[-1.7326480e+02  9.1327801e+00 -6.0263199e+01 -1.0683901e+00
 -5.7855177e+00 -2.3857756e+01 -1.8783880e+01  1.4206252e+01
  6.6955690e+00 -6.8128614e+00 -8.7026536e-01  1.4985650e+00
  1.1592121e+01  6.5364885e+00 -5.4515541e-01  3.9739135e-01
  6.4654368e-01 -1.3301678e+00 -2.2496455e+00 -5.0587430e+00
 -8.3227366e-01 -3.9229231e+00 -2.9508128e+00  9.8901339e-02
  3.6903068e-01 -1.8782927e-01 -3.8875370e+00 -1.6563962e+00
 -2.9496126e+00 -5.3403860e-01 -1.9745257e+00  9.5541614e-01
 -1.6180229e+00  2.7944300e-01 -1.6496387e-01 -1.0637603e+00
 -1.3362290e+00 -1.3586196e+00 -4.2342111e-01 -4.0218624e-01]",0
"[-1.6256934e+02 -7.2566752e+00 -7.2465492e+01  1.1249524e+00
  5.9731972e-01 -7.5164275e+00 -1.5123745e+01  1.2267870e+01
  1.2505213e+01 -1.0721906e+01 -2.3477805e+00  6.6329150e+00
  1.7255945e+01  1.5711797e+00  2.8236532e+00  3.2366595e+00
 -2.6787827e+00 -1.3261250e+00  2.8419139e+00  3.0060499e+00
  3.9655161e+00 -7.9957218e+00 -3.7433636e+00  2.4720948e+00
  3.0516431e+00 -2.6048419e-01 -1.0291692e+00  3.6534638e+00
 -4.9748592e+00 -2.8760624e+00  8.8264084e-01  3.4575224e+00
 -3.4924805e+00  5.2535331e-01 -1.1628857e-01 -9.7707218e-01
  1.2987233e+00  2.3591673e+00 -6.2207055e-01  1.5621467e+00]",0
"[-3.1464850e+02  3.5338013e+01 -3.5469604e+01 -2.9640856e+01
 -9.6638870e+00 -3.9724138e-01  1.1203005e+01  4.0218525e+00
  3.1070318e+00 -5.3930070e-02 -5.3366065e+00  5.8598059e-01
  4.9451747e+00 -2.7917922e+00  1.2500138e+01  2.5705953e+00
  9.4432802e+00  6.8553629e+00  3.7689695e+00  2.9030838e+00
  8.9930695e-01  1.4387270e+00  3.5805309e+00 -1.0561599e+00
 -1.1064339e-01  5.3452873e-01  6.1046118e-01 -1.2548953e+00
 -1.4018893e+00  2.2479980e+00  7.9149098e+00  7.9772992e+00
  3.8797846e+00  1.8669887e+00  1.9084207e+00 -7.1727914e-01
  8.6189114e-02  2.5194533e+00  2.8554721e+00 -1.1730251e-01]",0
